feedback,status,subject,enrollment_date,age,country,study_hours_per_week
I completed all modules and feel more confident now.,Completed,Philosophy,14-07-2023,45,Brazil,9.2
The course was too difficult and confusing.,Dropout,Machine Learning,30-04-2022,35,UK,6.1
There were too many assignments with little explanation.,Dropout,Economics,07-07-2022,40,China,3.9
I lost motivation because the content was overwhelming.,Dropout,Economics,03-07-2024,37,Australia,19.4
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,10-03-2022,34,Germany,10.5
I liked parts of the course but not everything.,Dropout,Psychology,28-10-2023,22,South Africa,5.3
This course helped me a lot in understanding the subject.,Completed,History,01-10-2023,23,Canada,7.5
The course was very engaging and easy to follow.,Completed,Data Science,27-08-2023,20,UK,12.8
"The pace was average, not too fast or too slow.",Dropout,Business,08-08-2022,35,USA,14
There were too many assignments with little explanation.,Dropout,Business,10-12-2023,36,India,6.5
I really enjoyed the instructor's teaching style.,Completed,Data Science,05-05-2022,32,Japan,4.3
The instructor did not explain concepts clearly.,Dropout,History,16-04-2024,18,India,2.6
"The pace was average, not too fast or too slow.",Dropout,Mathematics,27-07-2024,20,India,2.7
I lost motivation because the content was overwhelming.,Dropout,Mathematics,24-05-2024,20,Germany,2.7
The instructor did not explain concepts clearly.,Dropout,Economics,06-02-2024,18,South Africa,15
The course was okay but could be better.,Completed,Physics,14-06-2023,27,Brazil,14.8
The content was clear and well structured.,Completed,Mathematics,19-06-2024,31,Canada,17.2
"Some topics were useful, others were not very relevant.",Completed,Data Science,08-08-2022,37,USA,7.3
The course was okay but could be better.,Dropout,Computer Science,24-02-2023,41,Australia,10.3
The instructor did not explain concepts clearly.,Dropout,Physics,18-12-2023,35,Brazil,2.6
"The pace was average, not too fast or too slow.",Completed,Mathematics,01-12-2022,28,USA,15.2
I liked parts of the course but not everything.,Dropout,Mathematics,18-03-2024,32,India,10.7
"Some topics were useful, others were not very relevant.",Completed,Business,30-03-2024,22,UK,6.2
The overall experience was decent but not outstanding.,Dropout,Computer Science,17-04-2024,45,China,9.4
The overall experience was decent but not outstanding.,Completed,Psychology,27-08-2024,32,USA,13.6
I lost motivation because the content was overwhelming.,Dropout,Business,31-01-2022,19,Brazil,19.5
"The pace was average, not too fast or too slow.",Dropout,Psychology,22-10-2024,36,South Africa,19.9
There were too many assignments with little explanation.,Dropout,Physics,04-10-2023,45,Australia,16.4
The course was very engaging and easy to follow.,Completed,Psychology,08-05-2024,41,Brazil,11.4
There were too many assignments with little explanation.,Dropout,Machine Learning,20-11-2023,43,Brazil,17
The content was clear and well structured.,Completed,Business,10-06-2023,36,UK,1.3
I completed all modules and feel more confident now.,Completed,Psychology,30-06-2022,42,USA,2.9
This course helped me a lot in understanding the subject.,Completed,Economics,14-06-2022,34,UK,9.8
"Some topics were useful, others were not very relevant.",Dropout,Physics,21-09-2023,25,Germany,13.9
"The pace was average, not too fast or too slow.",Completed,Economics,02-01-2023,41,USA,11
The overall experience was decent but not outstanding.,Completed,History,17-02-2022,30,Brazil,5.9
The course was okay but could be better.,Dropout,Machine Learning,26-07-2022,19,UK,2.7
I completed all modules and feel more confident now.,Completed,Physics,26-07-2023,20,UK,5.7
I found the lectures boring and unhelpful.,Dropout,History,15-04-2022,27,Japan,15.1
The course was very engaging and easy to follow.,Completed,Physics,14-10-2024,22,USA,14.6
The course was very engaging and easy to follow.,Completed,Data Science,19-02-2023,23,India,20
I found the lectures boring and unhelpful.,Dropout,Philosophy,03-07-2024,35,Japan,12.8
I found the lectures boring and unhelpful.,Dropout,Machine Learning,20-07-2023,19,India,5
I really enjoyed the instructor's teaching style.,Completed,Physics,08-08-2022,42,South Africa,15.2
"The pace was average, not too fast or too slow.",Completed,History,04-04-2022,42,USA,17.8
The content was clear and well structured.,Completed,Business,15-04-2022,41,China,5.9
I liked parts of the course but not everything.,Completed,Economics,05-11-2023,45,Germany,18.5
I found the lectures boring and unhelpful.,Dropout,Physics,15-06-2024,28,Canada,7.4
I found the lectures boring and unhelpful.,Dropout,Data Science,25-08-2024,23,China,11
"The pace was average, not too fast or too slow.",Completed,Data Science,23-08-2024,22,South Africa,12.4
I lost motivation because the content was overwhelming.,Dropout,Computer Science,18-08-2022,31,USA,9.1
The overall experience was decent but not outstanding.,Dropout,Computer Science,13-11-2022,22,Canada,13.9
I completed all modules and feel more confident now.,Completed,Computer Science,01-10-2024,42,USA,11.2
The course was okay but could be better.,Completed,Physics,24-03-2022,32,Brazil,11.6
The course was too difficult and confusing.,Dropout,Mathematics,11-08-2023,35,India,13.8
The course was okay but could be better.,Completed,Computer Science,22-10-2024,19,India,4.2
I completed all modules and feel more confident now.,Completed,Physics,04-10-2022,24,Brazil,19.3
I found the lectures boring and unhelpful.,Dropout,History,19-03-2022,43,Brazil,12.4
"The pace was average, not too fast or too slow.",Completed,Business,22-07-2024,26,Brazil,13.7
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,01-01-2024,20,Brazil,12.8
I lost motivation because the content was overwhelming.,Dropout,Philosophy,17-01-2024,40,UK,2.7
I found the lectures boring and unhelpful.,Dropout,History,03-09-2023,44,UK,8.4
I liked parts of the course but not everything.,Dropout,Data Science,22-03-2023,24,Germany,1.9
The content was clear and well structured.,Completed,Psychology,10-03-2023,40,USA,12.8
The overall experience was decent but not outstanding.,Dropout,Mathematics,14-08-2023,35,Australia,10.6
The course was too difficult and confusing.,Dropout,Data Science,10-09-2023,21,Brazil,12.4
The course was too difficult and confusing.,Dropout,Business,14-04-2023,19,UK,2.9
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,17-01-2024,42,China,19.8
"Some topics were useful, others were not very relevant.",Completed,Physics,19-04-2023,39,Japan,17.4
The instructor did not explain concepts clearly.,Dropout,Economics,05-07-2022,20,India,7.2
The instructor did not explain concepts clearly.,Dropout,Computer Science,11-05-2024,26,UK,10.3
I really enjoyed the instructor's teaching style.,Completed,Business,25-08-2024,25,China,7.4
There were too many assignments with little explanation.,Dropout,Economics,06-06-2022,32,South Africa,7.3
There were too many assignments with little explanation.,Dropout,Physics,02-02-2024,42,Japan,10.5
The course was okay but could be better.,Dropout,Business,16-06-2023,22,Brazil,17.2
The overall experience was decent but not outstanding.,Dropout,Computer Science,26-11-2022,25,Brazil,1.4
I completed all modules and feel more confident now.,Completed,History,28-01-2024,42,Australia,9
I liked parts of the course but not everything.,Completed,Mathematics,17-03-2022,29,USA,9.4
I liked parts of the course but not everything.,Dropout,Physics,06-05-2022,44,China,9.8
"Some topics were useful, others were not very relevant.",Completed,Psychology,11-09-2024,35,Canada,10.1
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,23-09-2024,28,Australia,19.6
There were too many assignments with little explanation.,Dropout,Computer Science,31-08-2023,44,USA,17
I liked parts of the course but not everything.,Completed,Mathematics,25-02-2024,19,UK,11.7
I completed all modules and feel more confident now.,Completed,History,17-12-2024,30,UK,18
"The pace was average, not too fast or too slow.",Dropout,Economics,07-09-2023,19,South Africa,8.9
The content was clear and well structured.,Completed,Data Science,01-07-2024,38,Brazil,14
I liked parts of the course but not everything.,Dropout,Machine Learning,27-02-2023,28,Canada,14.8
I liked parts of the course but not everything.,Completed,History,11-10-2022,29,Japan,3.4
"The pace was average, not too fast or too slow.",Completed,Computer Science,17-04-2022,31,India,16.1
The overall experience was decent but not outstanding.,Completed,Physics,28-12-2022,19,Germany,15.8
The instructor did not explain concepts clearly.,Dropout,Data Science,12-12-2023,43,India,14.1
I liked parts of the course but not everything.,Dropout,Physics,06-05-2024,41,USA,19.2
The overall experience was decent but not outstanding.,Completed,Computer Science,28-05-2024,26,India,7
"Some topics were useful, others were not very relevant.",Completed,Computer Science,29-04-2022,41,South Africa,10.5
I liked parts of the course but not everything.,Completed,Business,07-12-2023,26,UK,9.3
The overall experience was decent but not outstanding.,Dropout,Data Science,10-05-2023,44,China,5.9
I liked parts of the course but not everything.,Dropout,Physics,04-04-2024,41,UK,9.7
There were too many assignments with little explanation.,Dropout,Data Science,27-12-2022,23,UK,10.2
I found the lectures boring and unhelpful.,Dropout,Computer Science,30-01-2024,38,South Africa,9.1
I liked parts of the course but not everything.,Dropout,Machine Learning,16-05-2024,23,India,15.8
The overall experience was decent but not outstanding.,Dropout,Economics,01-02-2024,21,Australia,6.1
The overall experience was decent but not outstanding.,Completed,Economics,22-04-2023,19,Germany,4.3
"Some topics were useful, others were not very relevant.",Dropout,Philosophy,17-01-2022,24,Japan,17.3
There were too many assignments with little explanation.,Dropout,Data Science,05-01-2023,41,Brazil,19.9
I found the lectures boring and unhelpful.,Dropout,Psychology,13-01-2023,39,Brazil,6.1
The course was too difficult and confusing.,Dropout,History,21-02-2022,45,USA,9.6
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,30-03-2024,24,South Africa,17.9
The course was okay but could be better.,Dropout,Data Science,09-03-2022,27,Japan,4.8
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,11-01-2023,26,Australia,8.2
I found the lectures boring and unhelpful.,Dropout,Computer Science,24-11-2022,36,Australia,15.9
This course helped me a lot in understanding the subject.,Completed,Economics,11-01-2022,35,Canada,19.2
"Some topics were useful, others were not very relevant.",Dropout,Business,17-06-2023,19,UK,17.7
I really enjoyed the instructor's teaching style.,Completed,Philosophy,25-03-2023,41,Japan,5.3
The content was clear and well structured.,Completed,Computer Science,05-01-2023,35,USA,4
"Some topics were useful, others were not very relevant.",Dropout,Physics,14-12-2023,38,India,6.7
The course was very engaging and easy to follow.,Completed,Mathematics,31-05-2024,40,Brazil,9.6
The content was clear and well structured.,Completed,Computer Science,07-12-2022,35,Australia,7.8
The overall experience was decent but not outstanding.,Dropout,Computer Science,27-06-2023,37,Japan,8.1
The course was very engaging and easy to follow.,Completed,Economics,09-06-2024,27,India,9
The course was okay but could be better.,Completed,History,14-02-2022,23,India,11.4
The overall experience was decent but not outstanding.,Dropout,Mathematics,06-04-2022,23,UK,15.7
I completed all modules and feel more confident now.,Completed,Physics,08-03-2022,26,Australia,11.3
The overall experience was decent but not outstanding.,Dropout,Physics,22-12-2022,23,Germany,19.2
I lost motivation because the content was overwhelming.,Dropout,Mathematics,14-01-2022,23,Canada,7.8
There were too many assignments with little explanation.,Dropout,Business,10-11-2023,29,India,3.2
The course was okay but could be better.,Dropout,Psychology,04-11-2023,43,India,5.3
The overall experience was decent but not outstanding.,Completed,Economics,07-08-2023,40,Canada,12.9
I lost motivation because the content was overwhelming.,Dropout,Mathematics,27-08-2023,45,Canada,8.5
The overall experience was decent but not outstanding.,Dropout,History,28-09-2022,18,China,1.5
I found the lectures boring and unhelpful.,Dropout,Mathematics,06-07-2023,42,Australia,2.7
I liked parts of the course but not everything.,Dropout,Business,15-03-2024,28,Japan,12.4
The course was too difficult and confusing.,Dropout,Machine Learning,20-10-2022,25,South Africa,8.6
I liked parts of the course but not everything.,Dropout,Computer Science,25-09-2023,36,Germany,6.3
The course was too difficult and confusing.,Dropout,History,09-01-2023,37,Australia,13.2
I liked parts of the course but not everything.,Dropout,Business,20-07-2022,36,UK,4.4
I really enjoyed the instructor's teaching style.,Completed,Physics,24-07-2022,33,Germany,5.4
The content was clear and well structured.,Completed,History,16-07-2023,33,Germany,3.9
I completed all modules and feel more confident now.,Completed,History,30-07-2022,22,India,17.9
I really enjoyed the instructor's teaching style.,Completed,Computer Science,14-04-2023,18,India,11.9
"The pace was average, not too fast or too slow.",Dropout,Psychology,08-10-2023,45,UK,6.1
There were too many assignments with little explanation.,Dropout,Machine Learning,09-05-2022,29,Canada,17.3
The course was very engaging and easy to follow.,Completed,Business,12-07-2022,26,Canada,14.7
I found the lectures boring and unhelpful.,Dropout,Philosophy,04-08-2022,27,Canada,13.7
"The pace was average, not too fast or too slow.",Dropout,Computer Science,20-09-2024,36,South Africa,13.1
I liked parts of the course but not everything.,Completed,Philosophy,17-09-2022,29,Australia,17.3
I found the lectures boring and unhelpful.,Dropout,Economics,29-04-2023,40,Australia,12.9
"The pace was average, not too fast or too slow.",Completed,Machine Learning,05-01-2023,41,India,6.7
I liked parts of the course but not everything.,Completed,Data Science,02-06-2024,33,Brazil,16.8
I lost motivation because the content was overwhelming.,Dropout,Physics,15-12-2022,36,Japan,19.7
The course was okay but could be better.,Completed,Machine Learning,04-01-2024,45,Japan,18.9
The course was okay but could be better.,Dropout,Computer Science,17-08-2023,31,Australia,2.1
"The pace was average, not too fast or too slow.",Completed,Business,15-12-2024,34,Canada,16.8
The course was okay but could be better.,Dropout,History,05-09-2024,22,Brazil,16
"The pace was average, not too fast or too slow.",Dropout,Psychology,25-03-2024,33,UK,13.5
The course was okay but could be better.,Dropout,Psychology,20-03-2023,45,Germany,15
The overall experience was decent but not outstanding.,Dropout,History,12-12-2022,35,UK,4.3
The course was very engaging and easy to follow.,Completed,Machine Learning,28-12-2024,23,Germany,14.9
The content was clear and well structured.,Completed,Psychology,04-07-2024,23,China,8.8
The content was clear and well structured.,Completed,Data Science,05-07-2022,45,UK,16.1
The instructor did not explain concepts clearly.,Dropout,Machine Learning,12-08-2023,36,Japan,4.3
The course was too difficult and confusing.,Dropout,Philosophy,05-05-2024,30,UK,16.8
The course was very engaging and easy to follow.,Completed,Mathematics,19-04-2024,30,India,6
The course was very engaging and easy to follow.,Completed,Philosophy,10-01-2024,31,Canada,4.5
I completed all modules and feel more confident now.,Completed,Data Science,08-02-2022,40,Canada,12.7
I found the lectures boring and unhelpful.,Dropout,Philosophy,26-03-2023,25,Germany,15.5
There were too many assignments with little explanation.,Dropout,Mathematics,03-09-2023,44,South Africa,2.8
"Some topics were useful, others were not very relevant.",Dropout,Data Science,06-04-2022,31,India,18.7
I liked parts of the course but not everything.,Dropout,Computer Science,18-03-2022,28,Brazil,6.3
"Some topics were useful, others were not very relevant.",Dropout,Data Science,28-08-2024,31,UK,8.4
"The pace was average, not too fast or too slow.",Dropout,Business,22-01-2022,18,Japan,7.2
The content was clear and well structured.,Completed,Physics,10-07-2023,31,USA,9.4
The content was clear and well structured.,Completed,Physics,16-08-2022,24,Canada,15.9
The course was too difficult and confusing.,Dropout,Philosophy,15-06-2023,27,USA,19.3
The content was clear and well structured.,Completed,Physics,23-07-2022,30,Germany,6.2
I really enjoyed the instructor's teaching style.,Completed,Physics,30-07-2024,23,South Africa,9.9
"The pace was average, not too fast or too slow.",Completed,Business,03-09-2024,31,India,9
The instructor did not explain concepts clearly.,Dropout,Philosophy,22-08-2023,23,Japan,19.5
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,27-08-2024,28,Germany,2.9
The course was very engaging and easy to follow.,Completed,Machine Learning,09-10-2024,37,Japan,11.7
The instructor did not explain concepts clearly.,Dropout,Mathematics,26-03-2022,23,Australia,11.6
I completed all modules and feel more confident now.,Completed,Psychology,02-07-2023,20,South Africa,4.2
The course was okay but could be better.,Completed,History,18-11-2023,43,Canada,10.5
The overall experience was decent but not outstanding.,Completed,Psychology,07-07-2024,36,India,4.1
"The pace was average, not too fast or too slow.",Completed,Business,07-04-2023,30,UK,8.9
The instructor did not explain concepts clearly.,Dropout,Computer Science,21-12-2022,24,China,9.2
I really enjoyed the instructor's teaching style.,Completed,Data Science,07-01-2022,37,Germany,5.3
The course was okay but could be better.,Completed,Computer Science,03-07-2023,23,USA,8.4
This course helped me a lot in understanding the subject.,Completed,Business,02-02-2022,44,India,12
I liked parts of the course but not everything.,Dropout,Economics,09-06-2022,26,Brazil,1.9
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,25-08-2023,25,South Africa,10.6
I completed all modules and feel more confident now.,Completed,Physics,25-07-2024,19,Brazil,14.8
"The pace was average, not too fast or too slow.",Dropout,Computer Science,21-12-2023,31,Australia,18
The content was clear and well structured.,Completed,History,24-04-2023,30,China,18.6
The course was okay but could be better.,Dropout,Psychology,28-06-2022,34,Germany,16.5
The course was too difficult and confusing.,Dropout,Mathematics,16-07-2024,33,UK,12
The course was too difficult and confusing.,Dropout,Economics,23-09-2023,28,India,14.3
The course was very engaging and easy to follow.,Completed,Psychology,29-04-2023,29,Brazil,15.3
The course was very engaging and easy to follow.,Completed,Business,16-03-2022,25,Canada,9.4
The overall experience was decent but not outstanding.,Completed,Economics,19-05-2023,24,India,8.5
This course helped me a lot in understanding the subject.,Completed,Data Science,08-04-2024,33,USA,11.4
There were too many assignments with little explanation.,Dropout,Mathematics,11-05-2024,31,South Africa,18.3
I really enjoyed the instructor's teaching style.,Completed,Philosophy,03-02-2022,42,China,9.6
The course was okay but could be better.,Completed,Physics,25-10-2024,42,Germany,13.8
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,25-02-2023,36,Brazil,4.9
"The pace was average, not too fast or too slow.",Dropout,Philosophy,28-10-2024,42,South Africa,19.8
The course was okay but could be better.,Dropout,Business,14-02-2022,45,Australia,11.8
I found the lectures boring and unhelpful.,Dropout,Computer Science,01-05-2022,26,China,9
"The pace was average, not too fast or too slow.",Dropout,History,25-06-2024,18,Brazil,8.4
The course was too difficult and confusing.,Dropout,Machine Learning,03-04-2024,42,UK,12
I liked parts of the course but not everything.,Dropout,Physics,30-12-2022,42,China,16.9
The overall experience was decent but not outstanding.,Dropout,Economics,24-11-2022,33,USA,11.7
The course was okay but could be better.,Completed,Physics,23-04-2023,32,USA,9.7
"The pace was average, not too fast or too slow.",Dropout,History,23-09-2023,37,Australia,4.3
The content was clear and well structured.,Completed,Data Science,27-02-2023,40,Japan,11.2
I found the lectures boring and unhelpful.,Dropout,Physics,01-11-2023,27,Japan,14.2
The instructor did not explain concepts clearly.,Dropout,Business,07-05-2024,32,India,19.9
I found the lectures boring and unhelpful.,Dropout,Philosophy,28-11-2023,44,China,9.3
The course was okay but could be better.,Dropout,Psychology,22-12-2024,23,Australia,5.4
This course helped me a lot in understanding the subject.,Completed,Data Science,28-10-2022,43,USA,9.9
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,25-10-2024,45,India,8.3
I completed all modules and feel more confident now.,Completed,Physics,22-08-2022,28,China,12
I found the lectures boring and unhelpful.,Dropout,History,02-06-2023,42,Japan,18.5
"The pace was average, not too fast or too slow.",Dropout,Machine Learning,04-11-2023,18,Canada,18.9
I found the lectures boring and unhelpful.,Dropout,Computer Science,22-04-2022,37,UK,8.8
The course was very engaging and easy to follow.,Completed,Computer Science,09-04-2022,24,India,10.8
"The pace was average, not too fast or too slow.",Dropout,Machine Learning,19-07-2024,23,Brazil,3.9
The overall experience was decent but not outstanding.,Dropout,History,23-12-2022,38,Australia,16.8
The course was very engaging and easy to follow.,Completed,Data Science,26-07-2024,22,China,10.6
The overall experience was decent but not outstanding.,Completed,Mathematics,14-08-2024,38,Australia,2.7
"The pace was average, not too fast or too slow.",Completed,Data Science,16-05-2024,36,USA,14.7
I really enjoyed the instructor's teaching style.,Completed,Mathematics,25-08-2024,30,Brazil,3.5
"The pace was average, not too fast or too slow.",Dropout,Mathematics,04-02-2022,25,Japan,3.3
There were too many assignments with little explanation.,Dropout,History,03-02-2023,39,Australia,6.3
The course was okay but could be better.,Dropout,Philosophy,21-02-2024,38,UK,13.2
"The pace was average, not too fast or too slow.",Completed,Computer Science,13-01-2022,20,UK,1.2
The content was clear and well structured.,Completed,Psychology,29-11-2022,39,Germany,5.1
The overall experience was decent but not outstanding.,Dropout,Machine Learning,16-11-2022,25,South Africa,7.9
There were too many assignments with little explanation.,Dropout,Economics,30-06-2023,36,South Africa,8.7
I lost motivation because the content was overwhelming.,Dropout,Philosophy,11-02-2024,38,South Africa,1
This course helped me a lot in understanding the subject.,Completed,History,14-10-2023,22,Australia,1.8
This course helped me a lot in understanding the subject.,Completed,History,08-06-2023,34,USA,14.3
The course was okay but could be better.,Completed,Psychology,03-02-2022,25,Brazil,16.7
"The pace was average, not too fast or too slow.",Completed,Economics,28-10-2022,21,Germany,17.6
I liked parts of the course but not everything.,Completed,Physics,26-11-2024,29,Australia,18.8
"Some topics were useful, others were not very relevant.",Completed,Mathematics,09-02-2023,22,Canada,9.1
"Some topics were useful, others were not very relevant.",Completed,Computer Science,19-12-2024,31,Australia,12.1
The course was okay but could be better.,Dropout,Philosophy,28-09-2023,36,South Africa,19.4
There were too many assignments with little explanation.,Dropout,Data Science,10-06-2023,23,Japan,11
There were too many assignments with little explanation.,Dropout,History,21-09-2022,18,Brazil,8.9
I liked parts of the course but not everything.,Dropout,Philosophy,15-04-2024,23,Canada,18
The overall experience was decent but not outstanding.,Completed,Philosophy,13-11-2022,36,Japan,16
I lost motivation because the content was overwhelming.,Dropout,Business,04-09-2024,45,Brazil,11.6
I liked parts of the course but not everything.,Completed,Computer Science,19-01-2023,29,Brazil,1.2
I lost motivation because the content was overwhelming.,Dropout,Psychology,11-12-2024,23,India,10.9
The overall experience was decent but not outstanding.,Completed,Physics,15-07-2022,28,Canada,12.5
The overall experience was decent but not outstanding.,Dropout,Machine Learning,13-11-2022,22,Brazil,1.2
I found the lectures boring and unhelpful.,Dropout,Psychology,02-09-2023,19,South Africa,18.7
The overall experience was decent but not outstanding.,Dropout,Machine Learning,17-09-2023,41,Canada,17.2
The overall experience was decent but not outstanding.,Completed,Machine Learning,22-03-2023,27,USA,1.3
The course was okay but could be better.,Completed,Mathematics,20-08-2024,22,India,12.2
The course was okay but could be better.,Completed,History,01-09-2023,23,UK,6.6
The course was okay but could be better.,Dropout,Philosophy,06-11-2022,19,China,4.5
This course helped me a lot in understanding the subject.,Completed,Data Science,19-09-2024,31,Brazil,12.6
The overall experience was decent but not outstanding.,Dropout,Psychology,31-03-2024,22,Japan,18.9
The course was okay but could be better.,Dropout,History,29-12-2024,22,India,2.6
This course helped me a lot in understanding the subject.,Completed,Data Science,07-07-2024,37,Brazil,8.8
The overall experience was decent but not outstanding.,Completed,Business,10-09-2024,22,Australia,17.1
The instructor did not explain concepts clearly.,Dropout,Physics,22-09-2023,33,Australia,3.3
The course was okay but could be better.,Dropout,Physics,29-05-2022,39,Canada,10.2
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,27-01-2022,19,South Africa,10.3
There were too many assignments with little explanation.,Dropout,Machine Learning,13-10-2024,29,India,5.3
The overall experience was decent but not outstanding.,Dropout,Mathematics,03-04-2022,22,Germany,16.8
The overall experience was decent but not outstanding.,Dropout,Physics,22-11-2024,33,Canada,5
I lost motivation because the content was overwhelming.,Dropout,Psychology,12-01-2023,43,Australia,17.2
I completed all modules and feel more confident now.,Completed,Computer Science,10-08-2023,35,Japan,1
I liked parts of the course but not everything.,Completed,History,22-02-2022,32,China,8.9
I lost motivation because the content was overwhelming.,Dropout,Business,15-05-2022,18,South Africa,8.9
The overall experience was decent but not outstanding.,Dropout,Machine Learning,23-08-2024,38,India,19.6
I really enjoyed the instructor's teaching style.,Completed,Computer Science,05-05-2023,39,UK,17.4
I really enjoyed the instructor's teaching style.,Completed,Psychology,22-12-2023,30,Canada,19.5
The overall experience was decent but not outstanding.,Dropout,Machine Learning,27-12-2023,34,India,7.5
I found the lectures boring and unhelpful.,Dropout,Business,14-07-2024,26,Australia,14.6
The course was okay but could be better.,Completed,Physics,28-08-2022,30,India,13.3
The course was very engaging and easy to follow.,Completed,Data Science,07-08-2023,18,Japan,5.7
The instructor did not explain concepts clearly.,Dropout,Business,01-10-2023,21,China,6.2
I lost motivation because the content was overwhelming.,Dropout,Philosophy,03-11-2022,23,USA,16.3
I lost motivation because the content was overwhelming.,Dropout,Philosophy,23-02-2024,30,UK,15.6
I lost motivation because the content was overwhelming.,Dropout,Economics,01-02-2024,44,China,11.5
The course was very engaging and easy to follow.,Completed,Computer Science,29-12-2024,35,India,3.9
The content was clear and well structured.,Completed,Philosophy,24-11-2023,20,Brazil,6.4
The overall experience was decent but not outstanding.,Completed,Physics,22-02-2023,41,Canada,7.5
The content was clear and well structured.,Completed,Physics,24-04-2022,24,Japan,19.7
I completed all modules and feel more confident now.,Completed,Data Science,27-10-2024,34,India,15.5
I liked parts of the course but not everything.,Completed,Data Science,01-11-2024,41,Japan,11.6
The overall experience was decent but not outstanding.,Dropout,Mathematics,26-03-2022,39,USA,12.4
"The pace was average, not too fast or too slow.",Dropout,Psychology,01-04-2023,20,USA,4.8
"Some topics were useful, others were not very relevant.",Dropout,History,25-07-2022,21,Germany,11.2
"The pace was average, not too fast or too slow.",Completed,Data Science,04-12-2023,23,Brazil,5.6
I found the lectures boring and unhelpful.,Dropout,Philosophy,05-04-2024,19,Australia,19.9
There were too many assignments with little explanation.,Dropout,Data Science,05-10-2023,25,Japan,18.2
I liked parts of the course but not everything.,Dropout,Computer Science,13-07-2023,29,Australia,6.6
"The pace was average, not too fast or too slow.",Dropout,Mathematics,07-02-2023,20,South Africa,15.3
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,26-11-2023,41,Canada,12
I liked parts of the course but not everything.,Completed,History,15-04-2024,22,Brazil,4.4
The overall experience was decent but not outstanding.,Completed,History,06-01-2022,29,Canada,19.5
"Some topics were useful, others were not very relevant.",Dropout,Machine Learning,30-12-2024,27,India,3.5
"The pace was average, not too fast or too slow.",Completed,Computer Science,13-01-2022,24,Brazil,10.8
The course was okay but could be better.,Dropout,Data Science,16-03-2024,25,India,8.5
"Some topics were useful, others were not very relevant.",Dropout,Data Science,30-01-2024,19,UK,14.9
"Some topics were useful, others were not very relevant.",Dropout,Psychology,17-01-2022,37,China,12.2
I lost motivation because the content was overwhelming.,Dropout,Philosophy,31-03-2022,36,USA,19.8
I lost motivation because the content was overwhelming.,Dropout,Data Science,21-10-2022,29,UK,1.4
The course was okay but could be better.,Completed,Mathematics,14-02-2023,42,South Africa,15.4
The overall experience was decent but not outstanding.,Completed,Business,19-04-2023,45,USA,11.9
"Some topics were useful, others were not very relevant.",Dropout,Data Science,12-04-2022,37,China,9.2
I liked parts of the course but not everything.,Dropout,Business,06-10-2024,27,Germany,5.9
The overall experience was decent but not outstanding.,Completed,Mathematics,31-03-2022,28,Australia,15.2
I completed all modules and feel more confident now.,Completed,Business,07-04-2023,34,USA,3.4
"The pace was average, not too fast or too slow.",Dropout,Machine Learning,08-03-2024,29,Germany,11.1
I completed all modules and feel more confident now.,Completed,Business,26-03-2024,30,UK,17.5
The content was clear and well structured.,Completed,Machine Learning,07-10-2024,37,South Africa,2
"Some topics were useful, others were not very relevant.",Completed,Data Science,26-04-2023,43,Brazil,2.9
The content was clear and well structured.,Completed,Psychology,16-05-2024,18,South Africa,1.2
The content was clear and well structured.,Completed,History,11-04-2024,18,UK,4.7
The course was okay but could be better.,Dropout,Economics,18-01-2024,18,USA,8.1
The course was too difficult and confusing.,Dropout,Machine Learning,22-06-2024,25,USA,9
The course was okay but could be better.,Dropout,History,21-04-2022,29,China,9.4
The course was okay but could be better.,Dropout,Mathematics,03-01-2023,26,Australia,2.4
The overall experience was decent but not outstanding.,Dropout,Business,22-09-2023,32,Japan,6
I completed all modules and feel more confident now.,Completed,Business,14-03-2023,21,Germany,14.2
The overall experience was decent but not outstanding.,Completed,Data Science,16-10-2023,41,South Africa,3.3
"The pace was average, not too fast or too slow.",Dropout,Philosophy,24-12-2024,30,Brazil,19.3
"Some topics were useful, others were not very relevant.",Completed,Philosophy,16-03-2023,31,Germany,8.4
"The pace was average, not too fast or too slow.",Dropout,Physics,03-02-2023,28,Japan,10.4
"Some topics were useful, others were not very relevant.",Completed,Economics,15-01-2022,29,South Africa,1.9
I lost motivation because the content was overwhelming.,Dropout,Computer Science,28-08-2024,43,USA,11.3
The course was too difficult and confusing.,Dropout,Machine Learning,16-01-2023,23,India,12.5
I liked parts of the course but not everything.,Completed,Physics,21-03-2023,24,UK,14.1
This course helped me a lot in understanding the subject.,Completed,Mathematics,07-03-2023,36,Brazil,6.5
There were too many assignments with little explanation.,Dropout,Economics,01-10-2022,28,Canada,15.5
I liked parts of the course but not everything.,Completed,History,18-01-2023,26,UK,9.3
The overall experience was decent but not outstanding.,Dropout,Mathematics,04-04-2023,41,China,17.5
